"作者","Author full names","作者 ID","文献标题","年份","来源出版物名称","卷","期","论文编号","起始页码","结束页码","页码计数","施引文献","DOI","链接","归属机构","带归属机构的作者","摘要","作者关键字","索引关键字","文献类型","出版阶段","开放获取","来源出版物"
"Li B.; Yu W.","Li, Bochen (57393039300); Yu, Wenbin (55473232300)","57393039300; 55473232300","A Domain Adaption Based Closed-loop System for Fault Diagnosis of Generator Slot Wedge","2022","2022 5th International Symposium on Autonomous Systems, ISAS 2022","","","","","","","0","10.1109/ISAS55863.2022.9757317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129458157&doi=10.1109%2fISAS55863.2022.9757317&partnerID=40&md5=cfa04385a9c767489d42af092a2ed657","Shanghai Jiao Tong University, Department of Automation, Shanghai, China","Li B., Shanghai Jiao Tong University, Department of Automation, Shanghai, China; Yu W., Shanghai Jiao Tong University, Department of Automation, Shanghai, China","One of the main challenges for a generator's fault di-agnosis is that a designed method for a generator may have poor performance over another generator with a different working condition. In this paper, we propose a closed-loop system based on domain adaption to inspect the tightness of the generator's slot wedge. To detect the fault pattern of a given sample, a feature extraction algorithm using frequency spectrum analysis is introduced. Also, a basic spectrum is designed to eliminate potential disturbances in the frequency domain. Furthermore, energy efficiency is considered by adjusting the compression rate in Compressive Sensing (CS) according to the feedback value of Maximum Mean Discrepancy (MMD). We conduct experiments on data collected from a test platform and a generator in the power plant. The result shows that the designed system can achieve high classification accuracy over 85% with a compression rate lower than 50%. © 2022 IEEE.","Domain adaption; Fault diagnosis; Frequency spectrum analysis; Maximum Mean Discrepancy (MMD); Slot wedge","Closed loop systems; Energy efficiency; Fault detection; Feature extraction; Frequency domain analysis; Spectroscopy; Spectrum analysis; Closed-loop system; Compression rates; Condition; Domain adaptions; Fault patterns; Faults diagnosis; Frequency spectrum analysis; Maximum mean discrepancy; Poor performance; Slot wedge; Failure analysis","Conference paper","Final","","Scopus"
"Liu Y.; Liu D.; Li C.; Xie L.; Li Z.; Jiang Q.","Liu, Yang (57225002195); Liu, Dong (57138642300); Li, Chengxi (57217687954); Xie, Le (57220743428); Li, Zhenwei (57220753238); Jiang, Qilong (7402523543)","57225002195; 57138642300; 57217687954; 57220743428; 57220753238; 7402523543","Segmented adaptive wavelet threshold for data compression of metro vehicles plug door; [基于二维分块自适应阈值小波的地铁塞拉门数据压缩]","2021","Zhongnan Daxue Xuebao (Ziran Kexue Ban)/Journal of Central South University (Science and Technology)","52","4","","1213","1221","8","0","10.11817/j.issn.1672-7207.2021.04.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107226428&doi=10.11817%2fj.issn.1672-7207.2021.04.017&partnerID=40&md5=c4011488d74d58275de1e4a45b404b37","School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China","Liu Y., School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China; Liu D., School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China; Li C., School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China; Xie L., School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China; Li Z., School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China; Jiang Q., School of Electrical Engineering, Southwest Jiaotong University, Chengdu, 610000, China","In order to deal with the large amount of data generated during the PHM fault diagnosis of the subway sliding door, a compression method based on two-dimensional block adaptive threshold wavelet was proposed. In order to reduce the redundancy in the periodic data more effectively, the method used a two-dimensional grayscale representation of the original one-dimensional data according to the cycle of opening and closing the door once to form a two-dimensional grayscale image. The grayscale image was adaptively partitioned, and the wavelet threshold amplification factor of each block was automatically adjusted through preset thresholds and compression ratios. Finally, the data were compressed using a two-dimensional wavelet. Taking the test data in a subway depot in a certain place in Jiangsu Province as an example, different subway plug door status data were used for actual measurement. The results show that when the signal to noise ratio is 43 dB and the mean square error is about 0.7%, a compression ratio of 1.5% can be achieved. In the face of waveforms with large amplitude changes, the algorithm used in this work can retain enough detailed information for areas with small amplitudes while ensuring the compression rate, which verifies the feasibility and stability of the algorithm. © 2021, Central South University Press. All right reserved.","2D wavelet transform; Data compression; Dynamic threshold; Metro vehicles plug door; Segmented adaptive","Data compression; Mean square error; Signal to noise ratio; Actual measurements; Adaptive thresholds; Adaptive wavelet thresholds; Amplification factors; Compression methods; Compression rates; Gray-scale images; Wavelet threshold; Subways","Article","Final","","Scopus"
"He D.; Liu C.; Chen Y.; Jin Z.; Li X.; Shan S.","He, Deqiang (7403045841); Liu, Chenyu (57882481000); Chen, Yanjun (54786248600); Jin, Zhenzhen (57203361107); Li, Xianwang (57215498471); Shan, Sheng (57215503336)","7403045841; 57882481000; 54786248600; 57203361107; 57215498471; 57215503336","A rolling bearing fault diagnosis method using novel lightweight neural network","2021","Measurement Science and Technology","32","12","125102","","","","16","10.1088/1361-6501/ac1a5e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115933558&doi=10.1088%2f1361-6501%2fac1a5e&partnerID=40&md5=aa9331f4fb511b926c7f9ad1489dafb4","Guangxi Key Laboratory of Manufacturing System and Advanced Manufacturing Technology, School of Mechanical Engineering, Guangxi University, Nanning, 530004, China; Zhuzhou Crrc Times Electric Co., Ltd, Zhuzhou, 412001, China","He D., Guangxi Key Laboratory of Manufacturing System and Advanced Manufacturing Technology, School of Mechanical Engineering, Guangxi University, Nanning, 530004, China; Liu C., Guangxi Key Laboratory of Manufacturing System and Advanced Manufacturing Technology, School of Mechanical Engineering, Guangxi University, Nanning, 530004, China; Chen Y., Guangxi Key Laboratory of Manufacturing System and Advanced Manufacturing Technology, School of Mechanical Engineering, Guangxi University, Nanning, 530004, China; Jin Z., Guangxi Key Laboratory of Manufacturing System and Advanced Manufacturing Technology, School of Mechanical Engineering, Guangxi University, Nanning, 530004, China; Li X., Guangxi Key Laboratory of Manufacturing System and Advanced Manufacturing Technology, School of Mechanical Engineering, Guangxi University, Nanning, 530004, China; Shan S., Zhuzhou Crrc Times Electric Co., Ltd, Zhuzhou, 412001, China","As an important part of rotating machinery, rolling bearing fault will lead to equipment fault, resulting in loss of property and personal safety. To overcome the deficiency of traditional methods, such as low recognition accuracy, slow diagnosis speed, and relying on manual extraction of features, a novel bearing fault diagnosis method based on inverted residual convolutional neural network embedded with squeeze-and-excitation block (SE-IRCNN) is proposed. This method adopts a lightweight concept to reduce the calculation amount significantly. The body of the model is built with inverted residual blocks to reduce the feature loss in the dimensional reduction. Squeeze-and-excitation block is embedded to recalibrate the features. The universality and robustness of the method are verified by changing the ratio of the train set and test set under two experimental datasets. Compared with the commonly used methods, SE-IRCNN has a smaller calculation amount, faster diagnosis speed, and higher accuracy.  © 2021 IOP Publishing Ltd.","deep learning; fault diagnosis; lightweight; rolling bearings","Convolutional neural networks; Deep learning; Fault detection; Roller bearings; Bearing fault; Bearing fault diagnosis; Deep learning; Fault diagnosis method; Faults diagnosis; Lightweight; Neural-networks; Personal safety; Property; Rolling bearings; Failure analysis","Article","Final","","Scopus"
"Sun J.; Han Y.","Sun, Jie (57223036526); Han, Yunna (57216334610)","57223036526; 57216334610","Research on Random Modelling of Computer Multi-sample Redundancy in Nonlinear Mathematics Stochastic Finite Element","2021","Journal of Physics: Conference Series","1865","3","032018","","","","0","10.1088/1742-6596/1865/3/032018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104661510&doi=10.1088%2f1742-6596%2f1865%2f3%2f032018&partnerID=40&md5=6b17bf8a7c3214a80c69071d0ff5056a","Xi'An International University, Xi'an, 710077, China; Modern College of Northwest University, Xi'an, 710130, China","Sun J., Xi'An International University, Xi'an, 710077, China; Han Y., Modern College of Northwest University, Xi'an, 710130, China","The stochastic problems of engineering structures are generally simulated by stochastic finite element method. Based on the non-linear mathematical random method, the paper proposes the concept of multi-sample redundancy based on Bayesian network and the concept of redundancy compression algorithm. A Monte Carlo stochastic finite element method based on Bayesian network redundancy compression algorithm is established. The modelling process of Bayesian network redundancy compression algorithm is explained in detail through two examples. The Bayesian network redundancy compression algorithm model provides a new strategy for multi-sample system reliability analysis, which can conveniently implement system reliability calculation, fault diagnosis, importance analysis and other applications. If the constructed Bayesian network redundancy compression algorithm satisfies that all non-root nodes have two parent nodes, the reliability solving process of the multi-sample system only needs O(Nm3) computational complexity. © Published under licence by IOP Publishing Ltd.","Bayesian networks; finite element analysis; modelling and simulation; multisample redundancy compression algorithm; Nonlinear mathematics","Bayesian networks; Finite element method; Monte Carlo methods; Reliability analysis; Sampling; Stochastic systems; Compression algorithms; Engineering structures; Importance analysis; Network redundancy; Stochastic finite element method; Stochastic finite elements; Stochastic problems; System reliability; Redundancy","Conference paper","Final","All Open Access; Bronze Open Access","Scopus"
"Zhao W.; Zhang H.; Xu M.","Zhao, Wenqing (7403943141); Zhang, Haiming (57343778700); Xu, Minfu (57263641000)","7403943141; 57343778700; 57263641000","Insulator recognition based on an improved scale-transferrable network; [面向改进尺度缩放网络的绝缘子识别]","2021","Journal of Image and Graphics","26","11","","2561","2570","9","3","10.11834/jig.200697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119280821&doi=10.11834%2fjig.200697&partnerID=40&md5=4482ba096f4857c24300fec73cc2df66","School of Control and Computer Engineering, North China Electric Power University, Baoding, 071003, China; Engineering Research Center of the Ministry of Education for Intelligent Computing of Complex Energy System, Baoding, 071003, China","Zhao W., School of Control and Computer Engineering, North China Electric Power University, Baoding, 071003, China, Engineering Research Center of the Ministry of Education for Intelligent Computing of Complex Energy System, Baoding, 071003, China; Zhang H., School of Control and Computer Engineering, North China Electric Power University, Baoding, 071003, China; Xu M., School of Control and Computer Engineering, North China Electric Power University, Baoding, 071003, China","Objective: The insulator is the key component in transmission lines. Insulators are numerous and widely distributed in transmission lines. They operate in the field for a long time. Affected by high voltage and complex climate, faults, such as defects and cracks, occur easily. Faults have serious consequences and entail economic losses. Therefore, the insulator components in aerial images need to be identified efficiently and accurately to provide a basis for fault diagnosis and other related work. Traditional insulator recognition methods include threshold segmentation based on target features and recognition algorithms based on image enhancement. These methods need features to be designed manually, but manual selection of labeled features is prone to errors or false checks, and the recognition efficiency and accuracy are low. Hence, this approach cannot fully meet actual needs. Compared with traditional methods, such as image segmentation and image enhancement, deep learning extracts insulator features automatically by using a machine, and it is more accurate and faster than manual extraction. Researchers have used the popular algorithm faster region convolutional neural network(Faster RCNN) to identify insulators and generated proposal regions in the last feature layer by convolution to identify insulator targets. This algorithm results in an insufficient number of feature maps to be identified, and the small scale leads to weak semantic information of insulators, which easily causes misdetection and even non-detection. When the single-shot multi-box detector and ""you only look once"" use a fixed-size convolution kernel to identify insulators with a large scale difference, the semantic information of insulator features with a relatively small scale is reduced, which easily causes small-scale insulation misdetection. Method: An insulator recognition model based on the improved scale-transferrable network is proposed to address the problems that traditional methods cannot automatically extract insulator features and that the deep learning network is insufficient to extract insulator semantic information. This model meets the requirements of automatic recognition and semantic information enhancement. The length and width of the insulator images are limited to 300 × 300 pixels. The preprocessed insulator images are outputted to the backbone network Densenet-169. Densenet-169 completes the feature extraction of the insulator images. The improvement work in this study is mainly divided into three parts. First, the feature integration method is used to enhance the semantic information of the feature map generated by Densenet-169. Second, after feature extraction, the semantic information loss of the small-scale insulator becomes serious; therefore, the small-scale feature map in the network is expanded to further enrich the semantic information. Lastly, the parameters of the anchor box are improved to effectively identify the insulator with a large-scale difference. After the improvement work is completed, the accurate position information of the insulator is obtained through bounding box regression, and the insulator is identified. Result: The experimental data set is composed of composite, glass, and ceramic insulators. The images have a total of 4 350, which include 2 000 composite, 1 350 glass, and 1 000 ceramic insulator images. The scale of each image is preprocessed as 300 × 300 pixels, and the training and test sets are divided randomly(3 250 and 1 100, respectively). Experimental results show that the model structure is improved, and the recognition accuracy is 96.28%. The improvement in recognition accuracy ranges from 1.98% to 11.99% relative to the traditional Faster RCNN, improved Faster RCNN, and improved region-based fully convolutional neural network(R-FCN). Conclusion: The improved model increases the accuracy of insulator identification significantly and lays a solid foundation for subsequent transmission line detection work. Considering that the total number of anchor boxes is increased due to the improved scaling module, the compression parameters will be considered in future work to reduce the calculation. © 2021, Editorial Office of Journal of Image and Graphics. All right reserved.","Anchor box; Convolution; Feature integration; Insulator recognition; Pooling; Scale-transferrable network; Semantic information","","Article","Final","","Scopus"
"Suti A.; Di Rito G.; Galatolo R.","Suti, Aleksander (57223981787); Di Rito, Gianpietro (57221199929); Galatolo, Roberto (15742402200)","57223981787; 57221199929; 15742402200","Fault-tolerant control of a three-phase permanent magnet synchronous motor for lightweight uav propellers via central point drive","2021","Actuators","10","10","253","","","","10","10.3390/act10100253","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116468431&doi=10.3390%2fact10100253&partnerID=40&md5=c51e7c6fff1ef74b3c57c8065e9832a6","Dipartimento di Ingegneria Civile e Industriale, Università di Pisa, Sez, Aerospaziale, Via Caruso 8, Pisa, I-56122, Italy","Suti A., Dipartimento di Ingegneria Civile e Industriale, Università di Pisa, Sez, Aerospaziale, Via Caruso 8, Pisa, I-56122, Italy; Di Rito G., Dipartimento di Ingegneria Civile e Industriale, Università di Pisa, Sez, Aerospaziale, Via Caruso 8, Pisa, I-56122, Italy; Galatolo R., Dipartimento di Ingegneria Civile e Industriale, Università di Pisa, Sez, Aerospaziale, Via Caruso 8, Pisa, I-56122, Italy","This paper deals with the development and the performance characterization of a novel Fault-Tolerant Control (FTC) aiming to the diagnosis and accommodation of electrical faults in a three-phase Permanent Magnet Synchronous Motor (PMSM) employed for the propulsion of a mod-ern lightweight fixed-wing UAV. To implement the fault-tolerant capabilities, a four-leg inverter is used to drive the reference PMSM, so that a system reconfiguration can be applied in case of a motor phase fault or an inverter fault, by enabling the control of the central point of the three-phase con-nection. A crucial design point is to develop Fault-Detection and Isolation (FDI) algorithms capable of minimizing the system failure transients, which are typically characterized by high-amplitude high-frequency torque ripples. The proposed FTC is composed of two sections: in the first, a deterministic model-based FDI algorithm is used, based the evaluation of the current phasor trajectory in the Clarke’s plane; in the second, a novel technique for fault accommodation is implemented by applying a reference frame transformation to post-fault commands. The FTC effectiveness is as-sessed via detailed nonlinear simulation (including sensors errors, digital signal processing, mechanical transmission compliance, propeller loads and electrical faults model), by characterizing the FDI latency and the post-fault system performances when open circuit faults are injected. Compared with reports in the literature, the proposed FTC demonstrates relevant potentialities: the FDI section of the algorithm provides the smallest ratio between latency and monitoring samples per electrical period, while the accommodation section succeeds in both eliminating post-fault torque ripples and maintaining the mechanical power output with negligible efficiency degradation. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Current signature techniques; Fault-tolerant control; FDI; Fixed-wing UAV; Four-leg inverter; Full-electric propulsion; Permanent magnets synchronous machines","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Silva Junior E.M.D.; De Sousa D.R.; Marinho L.C.R.P.; Formiga C.R.B.; Matamoros E.P.","Silva Junior, Edilson Marinho Da (57222742216); De Sousa, Delany Ramos (57222745157); Marinho, Larissa Campos Rodrigues Pinhe (57222741725); Formiga, Cleiton Rubens Barbosa (57222744540); Matamoros, Efrain Pantaleon (55815316300)","57222742216; 57222745157; 57222741725; 57222744540; 55815316300","Fault Diagnosis in Combustion Engines Using Artificial Neural Networks","2021","SAE Technical Papers","","2021","","","","","2","10.4271/2020-36-0076","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103954110&doi=10.4271%2f2020-36-0076&partnerID=40&md5=bbef2922402b4cb3968d4fc6335e1854","Federal Institute of Maranhão - IFMA; Federal Institute O","Silva Junior E.M.D., Federal Institute O; De Sousa D.R., Federal Institute O; Marinho L.C.R.P., Federal Institute O; Formiga C.R.B., Federal Institute O; Matamoros E.P., Federal Institute of Maranhão - IFMA","Industry 4.0, in addition to simple digitization itself, proposes the development of a complex innovation chain based on the combination of multiple technologies that inevitably forces companies to rethink all of their maintenance, business and process management methods. The use of artificial intelligence, in turn, through techniques of Artificial Neural Networks (ANN) enables the construction of unsupervised mathematical and statistical systems capable of managing, diagnosing and acting on maintenance and fault detection systems. It was proposed in this work a discussion about the identification of the fault criticality condition in each load category in an internal combustion engine through the use of a neuron map. Measurements were made under the following load conditions: no load (0 Kw), 0.5 Kw, 1.0 Kw and 1.5 Kw, through insertion in standard condition (without failure), and in conditions with failures of the following types: wear on the valve stem exhaust, clearance between the valve guide and the stem of the exhaust valve and radial wear of the compression segment ring. A neural fault map was generated for each load condition, using clustering data mining tools using the Wards method, artificial neural networks using the Kohonen method and Confusion Matrix prediction matrix. The results showed that, in the standard condition (without load) and with 0.5 kW of load, the highest level of criticality was related to the clearance between the valve guide of the exhaust valve stem. While in the load conditions of 1kW and 1.5kW, the level of criticality indicated radial wear of the compression segment ring. © 2021 SAE International. All rights reserved.","","Combustion; Criticality (nuclear fission); Data mining; Engines; Fault detection; Loads (forces); Wear of materials; Combustion engines; Confusion matrices; Fault criticalities; Fault detection systems; Multiple technology; Process management; Standard conditions; Statistical systems; Neural networks","Conference paper","Final","","Scopus"
"","","","AIEE 2021 - 2021 2nd International Conference on Artificial Intelligence in Electronics Engineering","2021","ACM International Conference Proceeding Series","","","","","","108","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120551333&partnerID=40&md5=2d21f1c90408ba5fa5d85c915164abfd","","","The proceedings contain 15 papers. The topics discussed include: an exploration for generative adversarial networks via adding a screening model; the impact of learning rate decay and periodical learning rate restart on artificial neural network; research on the application of artificial intelligence technology in the development of sports teaching video compression algorithm; learning-based point cloud registration: a short review and evaluation; a novel UAV aerial vehicle detection method based on attention mechanism and multi-scale feature cross fusion; research on application of information model in wind turbine fault diagnosis; and recursive relocation of lost intelligent agent by Aitkin acceleration method and extended Kalman filtering algorithm.","","","Conference review","Final","","Scopus"
"Shen Z.; Guo W.","Shen, Ziqian (57425147300); Guo, Wei (56688919500)","57425147300; 56688919500","An Intelligent Bearing Fault Diagnosis based on Modified Probabilistic Knowledge Distillation","2021","2021 Global Reliability and Prognostics and Health Management, PHM-Nanjing 2021","","","","","","","3","10.1109/PHM-Nanjing52125.2021.9612949","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123430071&doi=10.1109%2fPHM-Nanjing52125.2021.9612949&partnerID=40&md5=b5c92f4dcd4a55eb214ef69d57bd9e9d","University Of Electronic Science And Technology Of China, School Of Mechanical And Electrical Engineering, Chengdu, China","Shen Z., University Of Electronic Science And Technology Of China, School Of Mechanical And Electrical Engineering, Chengdu, China; Guo W., University Of Electronic Science And Technology Of China, School Of Mechanical And Electrical Engineering, Chengdu, China","Knowledge distillation (KD) is one of popular algorithms for compressing deep neural networks because it generates a compact but still powerful deep neural network for the cases of complicated situations and limited computation resources. In this study, an intelligent fault diagnosis method is developed based on the probabilistic knowledge distillation (PKD) and deep convolutional neural network (CNN) to determine the health states of bearings. First, the one-dimensional vibration signal is reshaped as a two-dimensional matrix to input the teacher or student network. Then, a deeper neural network and small network are trained as the teacher and student networks, respectively. The probability distribution (PD) is learned by minimizing the difference of the joint density probability estimation between the teacher and student networks, that is, the lightweight network learns to integrate the PD of the deeper neural network in the high-dimensional feature space and realizes the knowledge transfer from training samples to test samples. The results of experimental bearings indicate that the proposed diagnosis method has higher diagnosis accuracy than the other two popular knowledge distillation methods and its student network only has about one 700-th parameter of the teacher network. Therefore, the proposed method achieves a good balance between the classification accuracy and network compression, and demonstrates potential application to intelligent fault diagnosis of bearings under varying working conditions. © 2021 IEEE.","Bearing.; Deep learning; Fault diagnosis; Neural network compression; Probabilistic knowledge distillation","Deep neural networks; Distillation; Fault detection; Knowledge management; Probability distributions; Students; Bearing.; Deep learning; Faults diagnosis; Network compression; Neural network compression; Neural-networks; Probabilistic knowledge; Probabilistic knowledge distillation; Student network; Teachers'; Failure analysis","Conference paper","Final","","Scopus"
"Park H.; Diane Cuebas R.; We K.-S.; Hoon Kim S.; Lee C.-G.","Park, Hayeon (57305705800); Diane Cuebas, Rut (57305705900); We, Kyoung-Soo (36703660900); Hoon Kim, Sung (57305861900); Lee, Chang-Gun (57226742639)","57305705800; 57305705900; 36703660900; 57305861900; 57226742639","Oil leakage detection in automobile shock absorber using machine learning classifiers","2021","ACM International Conference Proceeding Series","","","","71","77","6","0","10.1145/3471985.3472377","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117703505&doi=10.1145%2f3471985.3472377&partnerID=40&md5=aba62c05e23e95cc07c5a6c9cd3e72f3","Seoul National University, Dept. of Computer Science, South Korea; Hyundai Motor Group, South Korea","Park H., Seoul National University, Dept. of Computer Science, South Korea; Diane Cuebas R., Seoul National University, Dept. of Computer Science, South Korea; We K.-S., Hyundai Motor Group, South Korea; Hoon Kim S., Hyundai Motor Group, South Korea; Lee C.-G., Seoul National University, Dept. of Computer Science, South Korea","In this paper, we describe a lightweight and accurate fault diagnosis method that detects oil leakage in automobile shock absorbers. Our approach includes a machine learning classifier as its base. These classifiers are quick and maintain a low computational load that are suitable for the automotive environment where only low-performance Electronic Control Units (ECUs) are available. However, these classifiers do not produce sufficiently accurate results when raw sensor data is used as the input. To solve this issue, we have developed an approach that firstly includes sensor data selection, where only sensors that have a strong impact on accuracy are used as input. And secondly, this reduced input dataset undergoes preprocessing using Fast Fourier Transform (FFT) to further improve accuracy. Thus, our methodology produces an oil leakage detection methodology for automobile shock absorbers that addresses the limitations of fault detection in an automotive system by being both lightweight and accurate. © 2021 ACM.","","Control systems; Fast Fourier transforms; Fault detection; Machine learning; Automotive environment; Data Selection; Electronics control unit; Fault diagnosis method; Leakage detection; Low computational loads; Oil leakage; Performance; Raw sensor; Sensors data; Automobile shock absorbers","Conference paper","Final","","Scopus"
"Lin S.-L.","Lin, Shih-Lin (57222722779)","57222722779","Intelligent fault diagnosis and forecast of time-varying bearing based on deep learning vmd-densenet","2021","Sensors","21","22","7467","","","","16","10.3390/s21227467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118699134&doi=10.3390%2fs21227467&partnerID=40&md5=26fd7078ebc1c51e753317cb1b9dc61f","Graduate Institute of Vehicle Engineering, National Changhua University of Education, No.1 Jin-De Road, Changhua City, 50007, Taiwan","Lin S.-L., Graduate Institute of Vehicle Engineering, National Changhua University of Education, No.1 Jin-De Road, Changhua City, 50007, Taiwan","Rolling bearings are important in rotating machinery and equipment. This research proposes variational mode decomposition (VMD)-DenseNet to diagnose faults in bearings. The research feature involves analyzing the Hilbert spectrum through VMD whereby the vibration signal is converted into an image. Healthy and various faults show different characteristics on the image, thus there is no need to select features. Coupled with the lightweight network, DenseNet, for image classification and prediction. DenseNet is used to build a model of motor fault diagnosis; its structure is simple, and the calculation speed is fast. The method of using DenseNet for image feature learning can perform feature extraction on each image block of the image, providing full play to the advantages of deep learning to obtain accurate results. This research method is verified by the data of the time-varying bearing experimental device at the University of Ottawa. Through the four links of signal acquisition, feature extraction, fault identification, and prediction, a mechanical intelligent fault diagnosis system has established the state of bearing. The experimental results show that the method can accurately identify four common motor faults, with a VMD-DenseNet prediction accuracy rate of 92%. It provides a more effective method for bearing fault diagnosis and has a wide range of application prospects in fault diagnosis engineering. In the future, online and timely diagnosis can be achieved for intelligent fault diagnosis. © 2021 by the author. Licensee MDPI, Basel, Switzerland.","Bearing fault; Intelligent fault diagnosis; VMD-DenseNet","Deep Learning; Equipment Failure Analysis; Intelligence; Physical Therapy Modalities; Vibration; Deep learning; Extraction; Failure analysis; Fault detection; Forecasting; Image processing; Roller bearings; Vibration analysis; Bearing fault; Diagnosis faults; Faults diagnosis; Features extraction; Intelligent fault diagnosis; Mode decomposition; Motor fault; Rolling bearings; Time varying; Variational mode decomposition-densenet; device failure analysis; intelligence; physiotherapy; vibration; Feature extraction","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"","","","14th Mexican Conference on Pattern Recognition, MCPR 2022","2022","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","13264 LNCS","","","","","370","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133002409&partnerID=40&md5=4cd265e78079bd54e50202f6c6364fb5","","","The proceedings contain 33 papers. The special focus in this conference is on Pattern Recognition. The topics include: Factorized U-net for Retinal Vessel Segmentation; Multi-view Learning for EEG Signal Classification of Imagined Speech; leveraging Multiple Characterizations of Social Media Users for Depression Detection Using Data Fusion; a Wide & Deep Learning Approach for Covid-19 Tweet Classification; Does This Tweet Report an Adverse Drug Reaction? An Enhanced BERT-Based Method to Identify Drugs Side Effects in Twitter; we Will Know Them by Their Style: Fake News Detection Based on Masked N-Grams; multi-document Text Summarization Based on Genetic Algorithm and the Relevance of Sentence Features; OSLeD-wA: A One-Stage Lesion Detection Method with Attention Mechanisms; Detection of Pain Caused by a Thermal Stimulus Using EEG and Machine Learning; Lane Changing Model from NGSIM Dataset; efficient Methodology Based on Convolutional Neural Networks with Augmented Penalization on Hard-to-Classify Boundary Voxels on the Task of Brain Lesion Segmentation; Delimitation of Benign and Malignant Masses in Breast Ultrasound by Clustering of Intuitionistic Fuzzy Superpixels Using DBSCAN Algorithm; machine Learning and Symbolic Learning for the Recognition of Leukemia L1, L2 and L3; A Preliminary Study of SMOTE on Imbalanced Big Datasets When Dealing with Sparse and Dense High Dimensionality; A CNN-Based Driver’s Drowsiness and Distraction Detection System; 3D Convolutional Neural Network to Enhance Small-Animal Positron Emission Tomography Images in the Sinogram Domain; preface; clustering of Twitter Networks Based on Users’ Structural Profile; deep Variational Method with Attention for High-Definition Face Generation; extreme Machine Learning Architectures Based on Correlation; on Labelling Pointclouds with the Nearest Facet of Triangulated Building Models; cable-Driven Parallel Robot Controlled by Servo-Vision System; a Lightweight Convolutional Neural Network for Breast Cancer Diagnosis with Histology Images; a Robust Fault Diagnosis Method in Presence of Noise and Missing Information for Industrial Plants; a Novel Survival Analysis-Based Approach for Predicting Behavioral Probability of Default.","","","Conference review","Final","","Scopus"
